,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,line,length,shot,control,predscore,wprob
334,1304094,1,Shubman Gill,1070173,Gujarat Titans,Sandeep Sharma,438362,Punjab Kings,1,2.01,out,0,True,run out,1070173,3,0,0,0,0,9,6,1.1,0,4,17,1,13,,107,7.84,,,120,2022-05-03,2022,"Dr DY Patil Sports Academy, Mumbai",India,Punjab Kings,Gujarat Titans,IPL,RHB,RM,pace bowler,0,1,0,True,140,195,6,OUTSIDE_OFFSTUMP,GOOD_LENGTH,PUSH,1.0,166,48.86
407,1216523,1,Shubman Gill,1070173,Kolkata Knight Riders,Mohammed Shami,481896,Punjab Kings,5,17.05,run,1,True,run out,1070173,18,0,0,0,0,57,47,3.5,1,29,145,4,107,,13,8.13,,,120,2020-10-10,2020,"Zayed Cricket Stadium, Abu Dhabi",United Arab Emirates,Kolkata Knight Riders,Kolkata Knight Riders,IPL,RHB,RF,pace bowler,1,1,1,True,313,105,2,ON_THE_STUMPS,FULL,SLOG_SHOT,1.0,172,54.94
455,1136586,2,Shubman Gill,276298,Kolkata Knight Riders,Amit Mishra,31107,Delhi Capitals,3,15.03,out,0,True,run out,1070173,16,0,0,0,0,43,22,3.3,1,23,141,6,93,79.0,27,9.09,17.55,220.0,120,2018-04-27,2018,"Feroz Shah Kotla, Delhi",India,Delhi Daredevils,Kolkata Knight Riders,IPL,RHB,LB,spin bowler,0,0,0,False,123,138,7,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,0.0,181,0.21
671,1254098,1,Shubman Gill,1070173,Kolkata Knight Riders,Deepak Chahar,447261,Chennai Super Kings,6,0.06,out,0,True,run out,1070173,1,0,0,0,0,9,5,1.0,0,10,10,1,6,,114,10.0,,,120,2021-09-26,2021,"Zayed Cricket Stadium, Abu Dhabi",United Arab Emirates,Chennai Super Kings,Kolkata Knight Riders,IPL,RHB,RM,pace bowler,0,1,0,True,0,0,0,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,FLICK,0.0,171,53.52
774,1175365,1,Shubman Gill,1070173,Kolkata Knight Riders,Sandeep Lamichhane,960361,Delhi Capitals,1,9.01,run,2,True,run out,1070173,10,0,0,0,0,4,5,2.1,1,9,61,5,55,,65,6.65,,,120,2019-03-30,2019,"Feroz Shah Kotla, Delhi",India,-,Delhi Capitals,IPL,RHB,LBG,spin bowler,2,1,2,True,44,130,7,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT,1.0,138,19.82
791,1304070,1,Shubman Gill,1070173,Gujarat Titans,Prasidh Krishna,917159,Rajasthan Royals,2,1.02,out,0,False,run out,230193,2,0,0,0,0,0,2,0.2,0,0,12,1,8,,112,9.0,,,120,2022-04-14,2022,"Dr DY Patil Sports Academy, Mumbai",India,Gujarat Titans,Rajasthan Royals,IPL,RHB,RFM,pace bowler,0,1,0,False,135,189,6,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DAB,1.0,169,54.13
997,1216523,1,Shubman Gill,1070173,Kolkata Knight Riders,Arshdeep Singh,1125976,Punjab Kings,3,3.03,out,0,False,run out,604527,4,0,0,0,0,7,7,1.3,0,1,14,2,21,,99,4.0,,,120,2020-10-10,2020,"Zayed Cricket Stadium, Abu Dhabi",United Arab Emirates,Kolkata Knight Riders,Kolkata Knight Riders,IPL,RHB,LMF,pace bowler,0,1,0,False,216,126,1,OUTSIDE_OFFSTUMP,GOOD_LENGTH,FLICK,1.0,160,41.69
1021,1216540,2,Shubman Gill,24598,Kolkata Knight Riders,Washington Sundar,719715,Royal Challengers Bangalore,3,9.03,out,0,True,run out,1070173,10,0,0,0,0,1,6,2.3,1,9,55,3,57,140.0,63,5.78,13.33,195.0,120,2020-10-12,2020,Sharjah Cricket Stadium,United Arab Emirates,Royal Challengers Bangalore,Royal Challengers Bangalore,IPL,RHB,OB,spin bowler,0,0,0,False,240,167,3,OUTSIDE_OFFSTUMP,FULL,DEFENDED,0.0,154,3.29
1112,1254075,1,Shubman Gill,1070173,Kolkata Knight Riders,Mustafizur Rahman,330902,Rajasthan Royals,4,5.04,out,0,True,run out,1070173,6,0,0,0,0,11,19,1.4,0,8,24,1,34,,86,4.23,,,120,2021-04-24,2021,"Wankhede Stadium, Mumbai",India,Rajasthan Royals,Rajasthan Royals,IPL,RHB,LFM,pace bowler,0,1,0,True,151,197,5,ON_THE_STUMPS,YORKER,PUSH,1.0,153,33.53
1513,1312197,2,Shubman Gill,1070173,Gujarat Titans,Ravichandran Ashwin,26421,Rajasthan Royals,5,7.05,run,1,True,run out,1070173,8,0,0,0,0,35,21,1.4,0,21,72,2,46,117.0,74,9.39,9.48,189.0,120,2022-05-24,2022,"Eden Gardens, Kolkata",India,Gujarat Titans,Gujarat Titans,IPL,RHB,OB,spin bowler,1,1,1,True,254,259,4,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1.0,182,42.84
1703,1359497,1,Shubman Gill,1070173,Gujarat Titans,Adam Zampa,379504,Rajasthan Royals,6,4.06,out,0,False,run out,1151288,5,0,0,0,0,6,8,1.0,0,5,32,2,30,,90,6.4,,,120,2023-04-16,2023,"Narendra Modi Stadium, Ahmedabad",India,Rajasthan Royals,Rajasthan Royals,IPL,RHB,LBG,spin bowler,0,1,0,False,226,241,4,ON_THE_STUMPS,FULL,STRAIGHT_DRIVE,1.0,159,40.32
