,bowl_kind,shot,runs,balls,outs,dots,1s,2s,3s,4s,5s,6s,avg,SR,Dots%,Control%
0,pace bowler,FLICK,444.0,320.0,11,70,167,32,3,42,0,6,40.36,138.75,21.88,86.25
1,pace bowler,PULL,373.0,181.0,7,28,78,17,1,42,0,15,53.29,206.08,15.47,77.9
2,pace bowler,ON_DRIVE,314.0,229.0,5,68,114,7,0,27,0,13,62.8,137.12,29.69,87.77
3,pace bowler,CUT_SHOT,242.0,146.0,6,43,52,8,0,42,0,1,40.33,165.75,29.45,69.86
4,spin bowler,FLICK,225.0,196.0,2,32,123,34,0,4,0,3,112.5,114.8,16.33,93.37
5,spin bowler,ON_DRIVE,222.0,175.0,9,23,128,10,0,5,0,9,24.67,126.86,13.14,88.57
6,pace bowler,COVER_DRIVE,211.0,154.0,6,58,45,18,4,28,0,1,35.17,137.01,37.66,83.12
7,spin bowler,COVER_DRIVE,186.0,113.0,2,33,40,12,0,23,0,5,93.0,164.6,29.2,97.35
8,spin bowler,CUT_SHOT,130.0,97.0,1,28,33,23,1,12,0,0,130.0,134.02,28.87,87.63
9,spin bowler,PULL,99.0,48.0,0,3,26,2,1,15,0,1,inf,206.25,6.25,95.83
10,spin bowler,STRAIGHT_DRIVE,93.0,24.0,1,5,3,0,0,3,0,13,93.0,387.5,20.83,95.83
11,pace bowler,SLOG_SHOT,74.0,44.0,7,15,14,2,0,11,0,2,10.57,168.18,34.09,43.18
12,spin bowler,SLOG_SWEEP,70.0,19.0,3,5,0,1,0,5,0,8,23.33,368.42,26.32,68.42
13,spin bowler,SLOG_SHOT,70.0,30.0,5,8,10,1,0,4,0,7,14.0,233.33,26.67,60.0
14,pace bowler,PUSH,69.0,115.0,0,47,67,1,0,0,0,0,inf,60.0,40.87,89.57
15,pace bowler,STRAIGHT_DRIVE,63.0,26.0,0,7,7,1,0,6,0,5,inf,242.31,26.92,84.62
16,spin bowler,SWEEP_SHOT,54.0,21.0,0,3,6,1,0,10,0,1,inf,257.14,14.29,85.71
17,pace bowler,STEERED,50.0,37.0,1,11,18,1,0,6,0,1,50.0,135.14,29.73,83.78
18,pace bowler,SQUARE_DRIVE,40.0,27.0,2,7,12,2,0,6,0,0,20.0,148.15,25.93,85.19
19,pace bowler,DEFENDED,27.0,125.0,4,111,9,1,0,4,0,0,6.75,21.6,88.8,80.8
20,spin bowler,PUSH,25.0,53.0,0,29,23,1,0,0,0,0,inf,47.17,54.72,92.45
21,spin bowler,SQUARE_DRIVE,24.0,11.0,0,1,4,2,0,4,0,0,inf,218.18,9.09,100.0
22,pace bowler,LEG_GLANCE,21.0,17.0,1,5,9,0,0,3,0,0,21.0,123.53,29.41,76.47
23,pace bowler,UPPER_CUT,14.0,3.0,0,0,0,0,0,2,0,1,inf,466.67,0.0,100.0
24,pace bowler,HOOK,12.0,4.0,2,2,0,0,0,0,0,2,6.0,300.0,50.0,50.0
25,pace bowler,DAB,10.0,22.0,0,12,10,0,0,0,0,0,inf,45.45,54.55,100.0
26,spin bowler,PADDLE_SWEEP,10.0,3.0,0,0,0,1,0,2,0,0,inf,333.33,0.0,66.67
27,spin bowler,REVERSE_SWEEP,10.0,10.0,0,7,0,1,0,2,0,0,inf,100.0,70.0,40.0
28,spin bowler,LEG_GLANCE,7.0,8.0,0,2,5,1,0,0,0,0,inf,87.5,25.0,50.0
29,pace bowler,LEFT_ALONE,6.0,34.0,0,31,2,0,0,1,0,0,inf,17.65,91.18,147.06
30,pace bowler,SWEEP_SHOT,6.0,1.0,0,0,0,0,0,0,0,1,inf,600.0,0.0,0.0
31,pace bowler,RAMP,4.0,1.0,0,0,0,0,0,1,0,0,inf,400.0,0.0,100.0
32,spin bowler,DAB,3.0,3.0,0,0,3,0,0,0,0,0,inf,100.0,0.0,100.0
33,spin bowler,DEFENDED,2.0,62.0,1,60,2,0,0,0,0,0,2.0,3.23,96.77,90.32
34,spin bowler,LEFT_ALONE,2.0,2.0,0,1,0,1,0,0,0,0,inf,100.0,50.0,200.0
35,spin bowler,REVERSE_PULL,2.0,1.0,0,0,0,1,0,0,0,0,inf,200.0,0.0,0.0
36,spin bowler,STEERED,1.0,4.0,0,3,1,0,0,0,0,0,inf,25.0,75.0,75.0
37,spin bowler,LATE_CUT,1.0,2.0,0,1,1,0,0,0,0,0,inf,50.0,50.0,50.0
